bsc,method,protocol_seeds,certification_rate_mean,certification_rate_seed_sd,certification_rate_seed_min,certification_rate_seed_max,direct_output_rate_mean,direct_output_rate_seed_sd,direct_output_rate_seed_min,direct_output_rate_seed_max,reuse_rate_mean,reuse_rate_seed_sd,reuse_rate_seed_min,reuse_rate_seed_max,fallback_rate_mean,fallback_rate_seed_sd,fallback_rate_seed_min,fallback_rate_seed_max,false_certification_rate_mean,false_certification_rate_seed_sd,false_certification_rate_seed_min,false_certification_rate_seed_max,bad_reuse_rate_mean,bad_reuse_rate_seed_sd,bad_reuse_rate_seed_min,bad_reuse_rate_seed_max,candidate_identity_rate_among_certified_mean,candidate_identity_rate_among_certified_seed_sd,candidate_identity_rate_among_certified_seed_min,candidate_identity_rate_among_certified_seed_max,candidate_identity_rate_among_direct_outputs_mean,candidate_identity_rate_among_direct_outputs_seed_sd,candidate_identity_rate_among_direct_outputs_seed_min,candidate_identity_rate_among_direct_outputs_seed_max,candidate_identity_rate_among_reuses_mean,candidate_identity_rate_among_reuses_seed_sd,candidate_identity_rate_among_reuses_seed_min,candidate_identity_rate_among_reuses_seed_max,candidate_good_rate_among_certified_mean,candidate_good_rate_among_certified_seed_sd,candidate_good_rate_among_certified_seed_min,candidate_good_rate_among_certified_seed_max,completion_verifier_good_rate_mean,completion_verifier_good_rate_seed_sd,completion_verifier_good_rate_seed_min,completion_verifier_good_rate_seed_max,service_completion_rate_mean,service_completion_rate_seed_sd,service_completion_rate_seed_min,service_completion_rate_seed_max,mean_protocol_bits_mean,mean_protocol_bits_seed_sd,mean_protocol_bits_seed_min,mean_protocol_bits_seed_max,mean_protocol_forward_bits_mean,mean_protocol_forward_bits_seed_sd,mean_protocol_forward_bits_seed_min,mean_protocol_forward_bits_seed_max,mean_protocol_reverse_bits_mean,mean_protocol_reverse_bits_seed_sd,mean_protocol_reverse_bits_seed_min,mean_protocol_reverse_bits_seed_max,mean_fallback_bits_mean,mean_fallback_bits_seed_sd,mean_fallback_bits_seed_min,mean_fallback_bits_seed_max,mean_completion_forward_bits_mean,mean_completion_forward_bits_seed_sd,mean_completion_forward_bits_seed_min,mean_completion_forward_bits_seed_max,mean_completion_bits_mean,mean_completion_bits_seed_sd,mean_completion_bits_seed_min,mean_completion_bits_seed_max,saving_vs_always_refresh_mean,saving_vs_always_refresh_seed_sd,saving_vs_always_refresh_seed_min,saving_vs_always_refresh_seed_max,mean_audit_bits_mean,mean_audit_bits_seed_sd,mean_audit_bits_seed_min,mean_audit_bits_seed_max,mean_attempts_mean,mean_attempts_seed_sd,mean_attempts_seed_min,mean_attempts_seed_max,mean_logical_round_trips_mean,mean_logical_round_trips_seed_sd,mean_logical_round_trips_seed_min,mean_logical_round_trips_seed_max
0.0,bonferroni1024,5,0.7872000000000001,0.014601369798755197,0.768,0.804,0.0,0.0,0.0,0.0,0.7872000000000001,0.014601369798755197,0.768,0.804,0.21280000000000002,0.014601369798755183,0.196,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979727868828258,0.0011341138473868544,0.9973958333333334,1.0,,,,,0.9979727868828258,0.0011341138473868544,0.9973958333333334,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1320.0,0.0,1320.0,1320.0,1168.0,0.0,1168.0,1168.0,152.0,0.0,152.0,152.0,909.0815999999999,62.37705178028217,837.312,991.104,2077.0816,62.37705178028212,2005.312,2159.104,2229.0816,62.37705178028212,2157.312,2311.104,0.4782112359550562,0.014601369798755176,0.4590112359550562,0.49501123595505625,1024.0,0.0,1024.0,1024.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,bonferroni512,5,0.5640000000000001,0.04168932717135163,0.518,0.604,0.0,0.0,0.0,0.0,0.5640000000000001,0.04168932717135163,0.518,0.604,0.43599999999999994,0.041689327171351646,0.396,0.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9978806160653209,0.0019455796124333363,0.9961389961389961,1.0,,,,,0.9978806160653209,0.0019455796124333363,0.9961389961389961,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,808.0,0.0,808.0,808.0,656.0,0.0,656.0,656.0,152.0,0.0,152.0,152.0,1862.5919999999999,178.0968056760142,1691.712,2059.104,2518.5919999999996,178.09680567601427,2347.712,2715.104,2670.5919999999996,178.09680567601427,2499.712,2867.104,0.37486142322097377,0.04168932717135165,0.3288614232209738,0.41486142322097375,512.0,0.0,512.0,512.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,int8_fallback,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4272.0,0.0,4272.0,4272.0,4272.0,0.0,4272.0,4272.0,4272.0,0.0,4272.0,4272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,proposal64_unverified,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38799999999999996,0.02993325909419154,0.346,0.422,,,,,0.5955999999999999,0.03528172331391991,0.552,0.644,0.5955999999999999,0.03528172331391991,0.552,0.644,,,,,0.612,0.02993325909419156,0.578,0.654,1.0,0.0,1.0,1.0,208.0,0.0,208.0,208.0,208.0,0.0,208.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,208.0,208.0,208.0,0.0,208.0,208.0,0.9513108614232209,1.2412670766236366e-16,0.951310861423221,0.951310861423221,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,screened1024_heuristic,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9119999999999999,0.007071067811865481,0.9,0.918,0.08800000000000001,0.007071067811865477,0.082,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.9978069112326375,1.713973405950671e-05,0.9977777777777778,0.9978213507625272,,,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1320.0,0.0,1320.0,1320.0,1168.0,0.0,1168.0,1168.0,152.0,0.0,152.0,152.0,375.936,30.20760169228931,350.304,427.2,1543.9360000000001,30.207601692289312,1518.304,1595.2,1695.9360000000001,30.207601692289312,1670.304,1747.2,0.6030112359550561,0.007071067811865481,0.5910112359550561,0.6090112359550561,1024.0,0.0,1024.0,1024.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,screened512_heuristic,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8436,0.032508460437246166,0.796,0.872,0.1564,0.03250846043724617,0.128,0.204,0.0,0.0,0.0,0.0,0.0008,0.0010954451150103322,0.0,0.002,,,,,,,,,0.9971676093078177,0.000984376205975408,0.9954128440366973,0.9976905311778291,,,,,0.9992000000000001,0.0010954451150103333,0.998,1.0,1.0,0.0,1.0,1.0,808.0,0.0,808.0,808.0,656.0,0.0,656.0,656.0,152.0,0.0,152.0,152.0,668.1408,138.87614298791567,546.816,871.488,1324.1408000000001,138.87614298791567,1202.816,1527.488,1476.1408000000001,138.87614298791567,1354.816,1679.488,0.6544614232209737,0.03250846043724621,0.6068614232209737,0.6828614232209738,512.0,0.0,512.0,512.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,sentrysem1,5,0.5404,0.021972710347155602,0.52,0.578,0.0,0.0,0.0,0.0,0.5404,0.021972710347155602,0.52,0.578,0.4596,0.021972710347155637,0.422,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963715209574768,0.002451560109988897,0.9930795847750865,1.0,,,,,0.9963715209574768,0.002451560109988897,0.9930795847750865,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2060.912,12.520569955077958,2041.408,2075.328,1296.736,8.032063744766988,1284.224,1305.984,764.176,4.4885062103109785,757.184,769.344,1963.4112,93.86741860304878,1802.784,2050.56,3260.1472000000003,91.90033864573083,3103.328,3346.208,4024.3232000000003,91.09152313580002,3869.632,4109.776,0.05797677902621723,0.021322922082350183,0.037973782771535625,0.09418726591760296,414.46399999999994,3.7797947034197317,408.576,418.816,1.0,0.0,1.0,1.0,4.238000000000001,0.029529646120466782,4.192,4.272
0.0,sentrysem3,5,0.7476,0.01203328716519307,0.738,0.768,0.0,0.0,0.0,0.0,0.7476,0.01203328716519307,0.738,0.768,0.2524,0.012033287165193059,0.232,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962643179448207,0.003060515043734475,0.9918918918918919,1.0,,,,,0.9962643179448207,0.003060515043734475,0.9918918918918919,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3703.7344,89.45202538120637,3570.224,3806.928,2278.1567999999997,53.327429219867696,2198.624,2339.68,1425.5776,36.12521619035661,1371.6,1467.248,1078.2528,51.40620276970472,991.104,1119.264,3356.4096000000004,103.34217902095928,3189.728,3458.944,4781.9872,139.1458797780227,4561.328,4926.192,-0.11937902621722847,0.03257160107163451,-0.1531348314606742,-0.06772659176029983,805.3248,21.122249577163874,773.888,829.696,1.7251999999999998,0.04063496031744098,1.664,1.772,8.0168,0.2056093383093286,7.71,8.254
0.0,split256_256,5,0.6863999999999999,0.01283744522870493,0.672,0.704,0.0,0.0,0.0,0.0,0.6863999999999999,0.01283744522870493,0.672,0.704,0.3136,0.012837445228704981,0.296,0.328,0.0004,0.0008944271909999159,0.0,0.002,0.0004,0.0008944271909999159,0.0,0.002,0.9976536158975124,0.0013121479545126814,0.9970238095238095,1.0,,,,,0.9976536158975124,0.0013121479545126814,0.9970238095238095,1.0,0.9994082840236687,0.0013231171464495866,0.9970414201183432,1.0,0.9996,0.0008944271909999167,0.998,1.0,1.0,0.0,1.0,1.0,1432.0,0.0,1432.0,1432.0,1008.0,0.0,1008.0,1008.0,424.0,0.0,424.0,424.0,1339.6991999999998,54.841566017027596,1264.512,1401.216,2347.6992,54.84156601702759,2272.512,2409.216,2771.6992,54.84156601702759,2696.512,2833.216,0.35119400749063673,0.012837445228704943,0.3367940074906367,0.3687940074906366,256.0,0.0,256.0,256.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0
0.0,split512_512,5,0.8395999999999999,0.01538830724933709,0.822,0.862,0.0,0.0,0.0,0.0,0.8395999999999999,0.01538830724933709,0.822,0.862,0.16040000000000001,0.015388307249337072,0.138,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981130094305151,0.0019767938688158354,0.9952718676122931,1.0,,,,,0.9981130094305151,0.0019767938688158354,0.9952718676122931,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1944.0,0.0,1944.0,1944.0,1520.0,0.0,1520.0,1520.0,424.0,0.0,424.0,424.0,685.2288,65.73884856916803,589.536,760.416,2205.2288,65.73884856916798,2109.536,2280.416,2629.2288,65.73884856916798,2533.536,2704.416,0.3845438202247191,0.015388307249337069,0.36694382022471905,0.4069438202247191,512.0,0.0,512.0,512.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0
0.05,bonferroni1024,5,0.7031999999999999,0.021890637268019375,0.666,0.722,0.0,0.0,0.0,0.0,0.7031999999999999,0.021890637268019375,0.666,0.722,0.2968,0.02189063726801941,0.278,0.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983128389035807,0.0015403735431489866,0.9971671388101983,1.0,,,,,0.9983128389035807,0.0015403735431489866,0.9971671388101983,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1320.0,0.0,1320.0,1320.0,1168.0,0.0,1168.0,1168.0,152.0,0.0,152.0,152.0,1267.9296,93.51680240897886,1187.616,1426.848,2435.9296000000004,93.51680240897888,2355.616,2594.848,2587.9296000000004,93.51680240897888,2507.616,2746.848,0.3942112359550562,0.021890637268019375,0.35701123595505624,0.4130112359550562,1024.0,0.0,1024.0,1024.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.05,bonferroni512,5,0.4276,0.02896204412675321,0.384,0.45,0.0,0.0,0.0,0.0,0.4276,0.02896204412675321,0.384,0.45,0.5724,0.028962044126753177,0.55,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962755781799899,0.003783420858840199,0.9911111111111112,1.0,,,,,0.9962755781799899,0.003783420858840199,0.9911111111111112,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,808.0,0.0,808.0,808.0,656.0,0.0,656.0,656.0,152.0,0.0,152.0,152.0,2445.2928,123.72585250948983,2349.6,2631.552,3101.2928,123.72585250948983,3005.6,3287.552,3253.2928,123.72585250948983,3157.6,3439.552,0.2384614232209738,0.028962044126753232,0.19486142322097377,0.26086142322097383,512.0,0.0,512.0,512.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.05,int8_fallback,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4272.0,0.0,4272.0,4272.0,4272.0,0.0,4272.0,4272.0,4272.0,0.0,4272.0,4272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,proposal64_unverified,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.034205262752974155,0.452,0.536,,,,,0.48719999999999997,0.03542880184256871,0.45,0.532,0.48719999999999997,0.03542880184256871,0.45,0.532,,,,,0.504,0.034205262752974155,0.464,0.548,1.0,0.0,1.0,1.0,208.0,0.0,208.0,208.0,208.0,0.0,208.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,208.0,208.0,208.0,0.0,208.0,208.0,0.9513108614232209,1.2412670766236366e-16,0.951310861423221,0.951310861423221,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
