scenario,condition,bsc,protocol_seeds,independent_query_identities,target_present_fraction_mean,target_present_fraction_seed_sd,target_present_fraction_seed_min,target_present_fraction_seed_max,reuse_rate_mean,reuse_rate_seed_sd,reuse_rate_seed_min,reuse_rate_seed_max,bad_reuse_rate_mean,bad_reuse_rate_seed_sd,bad_reuse_rate_seed_min,bad_reuse_rate_seed_max,identity_precision_among_reuses_mean,identity_precision_among_reuses_seed_sd,identity_precision_among_reuses_seed_min,identity_precision_among_reuses_seed_max,reuse_rate_when_target_present_mean,reuse_rate_when_target_present_seed_sd,reuse_rate_when_target_present_seed_min,reuse_rate_when_target_present_seed_max,identity_recovery_rate_when_present_mean,identity_recovery_rate_when_present_seed_sd,identity_recovery_rate_when_present_seed_min,identity_recovery_rate_when_present_seed_max,reuse_rate_when_target_absent_mean,reuse_rate_when_target_absent_seed_sd,reuse_rate_when_target_absent_seed_min,reuse_rate_when_target_absent_seed_max,mean_completion_bits_mean,mean_completion_bits_seed_sd,mean_completion_bits_seed_min,mean_completion_bits_seed_max,saving_vs_always_refresh_mean,saving_vs_always_refresh_seed_sd,saving_vs_always_refresh_seed_min,saving_vs_always_refresh_seed_max
evict50,paired_iid,0.0,5,500,0.496,0.0,0.496,0.496,0.4444,0.008294576541331096,0.434,0.456,0.0,0.0,0.0,0.0,0.981176133495743,0.007011268059316556,0.9692982456140351,0.9866071428571429,0.8798387096774194,0.0111890620367029,0.8669354838709677,0.8911290322580645,0.879032258064516,0.012428254038243894,0.8629032258064516,0.8911290322580645,0.015873015873015872,0.007423923386456232,0.007936507936507936,0.027777777777777776,4317.5232000000005,35.43443098456647,4267.968,4361.952,-0.010656179775280883,0.008294576541331072,-0.021056179775280848,0.0009438202247191718
evict50,paired_iid,0.05,5,500,0.496,0.0,0.496,0.496,0.426,0.008485281374238578,0.42,0.44,0.0008,0.0010954451150103322,0.0,0.002,0.9747316628979383,0.01062702193222596,0.9620853080568721,0.9857142857142858,0.839516129032258,0.014924802841388495,0.8225806451612904,0.8629032258064516,0.8370967741935484,0.014426245016127662,0.8185483870967742,0.8588709677419355,0.019047619047619046,0.007098628499999332,0.011904761904761904,0.027777777777777776,4396.128,36.24912203074742,4336.32,4421.76,-0.0290561797752809,0.008485281374238604,-0.03505617977528086,-0.015056179775280842
full,novel_unpaired,0.0,5,200,0.0,0.0,0.0,0.0,0.025,0.007071067811865475,0.015,0.03,0.001,0.00223606797749979,0.0,0.005,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.025,0.007071067811865475,0.015,0.03,6109.2,30.20760169228933,6087.84,6151.92,-0.430056179775281,0.007071067811865442,-0.4400561797752809,-0.425056179775281
full,novel_unpaired,0.05,5,200,0.0,0.0,0.0,0.0,0.019000000000000003,0.005477225575051661,0.01,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.019000000000000003,0.005477225575051661,0.01,0.025,6134.832,23.398707656620587,6109.2,6173.28,-0.43605617977528094,0.005477225575051605,-0.4450561797752808,-0.4300561797752809
full,paired_hard_ood,0.0,5,500,1.0,0.0,1.0,1.0,0.122,0.004898979485566355,0.114,0.126,0.0,0.0,0.0,0.0,0.9770272676226084,0.014377283008688978,0.9672131147540983,1.0,0.122,0.004898979485566355,0.114,0.126,0.1192,0.005215361924162118,0.112,0.126,,0.0,,,5694.816,20.928440362339526,5677.728,5728.992,-0.3330561797752809,0.004898979485566361,-0.3410561797752809,-0.3290561797752809
full,paired_hard_ood,0.05,5,500,1.0,0.0,1.0,1.0,0.1052,0.00501996015920445,0.1,0.11,0.0,0.0,0.0,0.0,0.9773173241852486,0.00768720084627123,0.9636363636363636,0.9818181818181818,0.1052,0.00501996015920445,0.1,0.11,0.1028,0.004604345773288532,0.098,0.108,,0.0,,,5766.5856,21.44526980012157,5746.08,5788.8,-0.34985617977528094,0.005019960159204458,-0.3550561797752809,-0.3450561797752809
full,paired_iid,0.0,5,500,1.0,0.0,1.0,1.0,0.868,0.008485281374238578,0.856,0.88,0.0,0.0,0.0,0.0,0.9972285628149361,0.0025226336765991585,0.9930875576036866,1.0,0.868,0.008485281374238578,0.856,0.88,0.8656,0.009423375191511806,0.854,0.88,,0.0,,,2507.904,36.24912203074726,2456.64,2559.168,0.4129438202247191,0.008485281374238578,0.4009438202247191,0.4249438202247191
full,paired_iid,0.05,5,500,1.0,0.0,1.0,1.0,0.8304,0.01013903348450927,0.818,0.844,0.0,0.0,0.0,0.0,0.9971022892165655,0.0026624230496041915,0.9927184466019418,1.0,0.8304,0.01013903348450927,0.818,0.844,0.828,0.010954451150103333,0.816,0.842,,0.0,,,2668.5312,43.31395104582355,2610.432,2721.504,0.3753438202247191,0.010139033484509254,0.36294382022471916,0.3889438202247192
missing3classes,paired_iid,0.0,5,500,0.7,0.0,0.7,0.7,0.6184000000000001,0.005549774770204649,0.61,0.624,0.0,0.0,0.0,0.0,0.994838425325289,0.0028504335711572256,0.9903846153846154,0.9967845659163987,0.8805714285714284,0.007114228341707845,0.8685714285714285,0.8857142857142857,0.8788571428571428,0.006577636818983629,0.8685714285714285,0.8857142857142857,0.006666666666666666,0.004714045207910317,0.0,0.013333333333333334,3574.1951999999997,23.708637818314234,3550.272,3610.08,0.1633438202247191,0.005549774770204649,0.1549438202247191,0.1689438202247191
missing3classes,paired_iid,0.05,5,500,0.7,0.0,0.7,0.7,0.5923999999999999,0.008294576541331096,0.584,0.606,0.0004,0.000894427190999916,0.0,0.002,0.9979683765398051,0.003024299340412093,0.9932432432432432,1.0,0.8451428571428572,0.012355284748822672,0.8342857142857143,0.8657142857142858,0.8445714285714286,0.012551932935136473,0.8342857142857143,0.8657142857142858,0.002666666666666667,0.0036514837167011074,0.0,0.006666666666666667,3685.2672,35.434430984566355,3627.168,3721.152,0.13734382022471908,0.00829457654133108,0.12894382022471906,0.15094382022471908
