scenario,condition,bsc,protocol_seeds_retained_per_identity,query_identity_clusters,bootstrap_trials,reuse_rate_cluster_bootstrap95_low,reuse_rate_cluster_bootstrap95_high,bad_reuse_rate_cluster_bootstrap95_low,bad_reuse_rate_cluster_bootstrap95_high,identity_precision_among_reuses_cluster_bootstrap95_low,identity_precision_among_reuses_cluster_bootstrap95_high,identity_recovery_rate_when_present_cluster_bootstrap95_low,identity_recovery_rate_when_present_cluster_bootstrap95_high,reuse_rate_when_target_absent_cluster_bootstrap95_low,reuse_rate_when_target_absent_cluster_bootstrap95_high,mean_completion_bits_cluster_bootstrap95_low,mean_completion_bits_cluster_bootstrap95_high
evict50,paired_iid,0.0,5,500,2000,0.40399,0.4856,0.0,0.0,0.9659645440895441,0.9929206666875137,0.8450362447482099,0.9111111111111111,0.005761316872427984,0.028800164609053495,4141.5168,4490.1547199999995
evict50,paired_iid,0.05,5,500,2000,0.3852,0.4672,0.0,0.002,0.9572389989903688,0.9886298405618171,0.7999806201550388,0.8747214845873127,0.00816326530612245,0.03319846057832328,4220.1216,4570.4256
full,novel_unpaired,0.0,5,200,2000,0.010975,0.042,0.0,0.003,0.0,0.0,,,0.010975,0.042,6036.576,6169.114799999999
full,novel_unpaired,0.05,5,200,2000,0.008,0.033,0.0,0.0,0.0,0.0,,,0.008,0.033,6075.024,6181.824
full,paired_hard_ood,0.0,5,500,2000,0.09839,0.14800999999999995,0.0,0.0,0.9417428445341067,1.0,0.0952,0.1456,,,5583.701279999999,5795.677919999999
full,paired_hard_ood,0.05,5,500,2000,0.0824,0.13,0.0,0.0,0.9510403329065301,0.9963636363636363,0.08,0.1272,,,5660.64,5863.9872
full,paired_iid,0.0,5,500,2000,0.8416,0.8916,0.0,0.0,0.9940854650004577,0.9995429616087751,0.8392,0.8892,,,2407.0848,2620.6848
full,paired_iid,0.05,5,500,2000,0.8036,0.8576,0.0,0.0,0.9933222698176,0.9995242626070409,0.8011900000000001,0.8548,,,2552.3328,2783.0208
missing3classes,paired_iid,0.0,5,500,2000,0.5763900000000001,0.65881,0.0,0.0,0.989240506329114,0.9993279569892473,0.8479035681124818,0.9088798735511063,0.0,0.016666666666666666,3401.56368,3753.66192
missing3classes,paired_iid,0.05,5,500,2000,0.5524,0.63281,0.0,0.0012,0.9953050066686215,1.0,0.8142428711897739,0.8737477252897918,0.0,0.00730061185057964,3512.63568,3856.1472
