scenario,condition,bsc,protocol_seed,sessions,target_present_fraction,reuse_rate,bad_reuse_rate,identity_precision_among_reuses,reuse_rate_when_target_present,identity_recovery_rate_when_present,reuse_rate_when_target_absent,mean_completion_bits,saving_vs_always_refresh
evict50,paired_iid,0.0,5635005200607147554,500,0.496,0.444,0.0,0.9819819819819819,0.8790322580645161,0.8790322580645161,0.015873015873015872,4319.232,-0.011056179775280839
evict50,paired_iid,0.0,13181815969110816250,500,0.496,0.448,0.0,0.9866071428571429,0.8911290322580645,0.8911290322580645,0.011904761904761904,4302.144,-0.007056179775281057
evict50,paired_iid,0.0,13231421562932395684,500,0.496,0.456,0.0,0.9692982456140351,0.8911290322580645,0.8911290322580645,0.027777777777777776,4267.968,0.0009438202247191718
evict50,paired_iid,0.0,14673129866313320424,500,0.496,0.434,0.0,0.9861751152073732,0.8669354838709677,0.8629032258064516,0.007936507936507936,4361.952,-0.021056179775280848
evict50,paired_iid,0.0,17148364466832244007,500,0.496,0.44,0.0,0.9818181818181818,0.8709677419354839,0.8709677419354839,0.015873015873015872,4336.32,-0.015056179775280842
evict50,paired_iid,0.05,5635005200607147554,500,0.496,0.422,0.002,0.9620853080568721,0.8225806451612904,0.8185483870967742,0.027777777777777776,4413.216,-0.03305617977528108
evict50,paired_iid,0.05,13181815969110816250,500,0.496,0.42,0.0,0.9857142857142858,0.8346774193548387,0.8346774193548387,0.011904761904761904,4421.76,-0.03505617977528086
evict50,paired_iid,0.05,13231421562932395684,500,0.496,0.42,0.0,0.9857142857142858,0.8346774193548387,0.8346774193548387,0.011904761904761904,4421.76,-0.03505617977528086
evict50,paired_iid,0.05,14673129866313320424,500,0.496,0.44,0.0,0.9681818181818181,0.8629032258064516,0.8588709677419355,0.023809523809523808,4336.32,-0.015056179775280842
evict50,paired_iid,0.05,17148364466832244007,500,0.496,0.428,0.002,0.9719626168224299,0.842741935483871,0.8387096774193549,0.01984126984126984,4387.584,-0.027056179775280853
full,novel_unpaired,0.0,5635005200607147554,200,0.0,0.03,0.0,0.0,,,0.03,6087.84,-0.425056179775281
full,novel_unpaired,0.0,13181815969110816250,200,0.0,0.03,0.0,0.0,,,0.03,6087.84,-0.425056179775281
full,novel_unpaired,0.0,13231421562932395684,200,0.0,0.015,0.005,0.0,,,0.015,6151.92,-0.4400561797752809
full,novel_unpaired,0.0,14673129866313320424,200,0.0,0.02,0.0,0.0,,,0.02,6130.56,-0.435056179775281
full,novel_unpaired,0.0,17148364466832244007,200,0.0,0.03,0.0,0.0,,,0.03,6087.84,-0.425056179775281
full,novel_unpaired,0.05,5635005200607147554,200,0.0,0.02,0.0,0.0,,,0.02,6130.56,-0.435056179775281
full,novel_unpaired,0.05,13181815969110816250,200,0.0,0.02,0.0,0.0,,,0.02,6130.56,-0.435056179775281
full,novel_unpaired,0.05,13231421562932395684,200,0.0,0.01,0.0,0.0,,,0.01,6173.28,-0.4450561797752808
full,novel_unpaired,0.05,14673129866313320424,200,0.0,0.025,0.0,0.0,,,0.025,6109.2,-0.4300561797752809
full,novel_unpaired,0.05,17148364466832244007,200,0.0,0.02,0.0,0.0,,,0.02,6130.56,-0.435056179775281
